Complexity,Time_Difference,Designation,Positive_Feedback,Negative_Feedback,Performance_Rating
13,0.81,Associate,TRUE,TRUE,62.05
21,0.25,Associate,TRUE,FALSE,65.34
13,0.9,Associate,TRUE,TRUE,62.1
8,0.71,Associate,TRUE,TRUE,61
1,0.41,Associate,TRUE,FALSE,61.43
13,0.78,Associate,TRUE,TRUE,62.04
144,0.8,Associate,TRUE,FALSE,77.45
21,0.1,Associate,FALSE,FALSE,64.25
8,0.1,Associate,TRUE,TRUE,60.66
21,0.72,Associate,FALSE,TRUE,62.61
55,0.69,Associate,TRUE,TRUE,70.39
3,0.5,Associate,TRUE,TRUE,59.88
1,0.37,Associate,TRUE,TRUE,59.41
144,0.92,Associate,FALSE,TRUE,74.52
144,0.42,Associate,FALSE,FALSE,76.23
13,0.09,Associate,FALSE,FALSE,62.65
34,0.38,Associate,FALSE,TRUE,65.01
5,0.96,Associate,TRUE,FALSE,62.54
5,0.95,Associate,TRUE,FALSE,62.53
21,0.62,Associate,FALSE,TRUE,62.54
89,0.36,Associate,FALSE,TRUE,72.2
2,0.41,Associate,TRUE,TRUE,59.63
144,0.25,Associate,TRUE,TRUE,75.14
8,0.86,Associate,FALSE,TRUE,60.08
8,0.65,Associate,FALSE,FALSE,61.97
89,0.64,Associate,FALSE,FALSE,74.36
89,0.66,Associate,FALSE,FALSE,74.37
13,0.88,Associate,TRUE,TRUE,62.09
2,0.79,Associate,FALSE,TRUE,58.84
34,0.97,Associate,TRUE,FALSE,68.34
5,0.51,Associate,FALSE,FALSE,61.29
1,0.12,Associate,FALSE,FALSE,60.27
89,0.04,Associate,FALSE,TRUE,72.02
13,0.53,Associate,FALSE,FALSE,62.9
89,0.74,Associate,FALSE,TRUE,72.41
1,0.13,Associate,TRUE,FALSE,61.28
55,0.37,Associate,TRUE,TRUE,70.2
89,0.96,Associate,FALSE,FALSE,74.54
34,0.42,Associate,TRUE,TRUE,66.03
3,0.31,Associate,FALSE,TRUE,58.77
3,0.38,Associate,FALSE,FALSE,60.81
5,0.75,Associate,TRUE,TRUE,60.42
2,0.99,Associate,FALSE,FALSE,60.95
34,0.65,Associate,TRUE,FALSE,68.17
21,0.3,Associate,FALSE,FALSE,64.37
89,0.4,Associate,FALSE,FALSE,74.22
2,0.09,Associate,TRUE,FALSE,61.45
34,0.24,Associate,TRUE,FALSE,67.93
5,0.74,Associate,TRUE,TRUE,60.42
3,0.88,Associate,FALSE,FALSE,61.09
144,0.93,Associate,FALSE,TRUE,74.52
1,0.06,Associate,TRUE,FALSE,61.23
21,0.75,Associate,FALSE,TRUE,62.62
21,0.34,Associate,TRUE,TRUE,63.39
3,0.01,Associate,TRUE,TRUE,59.6
34,0.49,Associate,FALSE,TRUE,65.07
3,0.37,Associate,FALSE,TRUE,58.81
13,0.04,Associate,TRUE,TRUE,61.62
5,0.56,Associate,FALSE,TRUE,59.31
55,0.42,Associate,FALSE,TRUE,69.23
3,0.01,Associate,FALSE,FALSE,60.6
144,0.15,Associate,FALSE,FALSE,76.08
3,0.65,Associate,FALSE,TRUE,58.96
34,0.54,Associate,FALSE,FALSE,67.1
144,0.68,Associate,FALSE,TRUE,74.38
5,0.02,Associate,FALSE,TRUE,59.01
34,0.88,Associate,TRUE,TRUE,66.29
55,0.32,Associate,TRUE,FALSE,72.18
3,0.41,Associate,FALSE,TRUE,58.83
3,0.77,Associate,FALSE,FALSE,61.03
144,0.48,Associate,FALSE,TRUE,74.27
5,0.09,Associate,FALSE,TRUE,59.05
13,0.74,Associate,TRUE,TRUE,62.01
89,0.95,Associate,FALSE,TRUE,72.53
21,0.2,Associate,FALSE,FALSE,64.31
1,0.88,Associate,FALSE,FALSE,60.69
1,0.08,Associate,FALSE,TRUE,58.24
13,0.85,Associate,TRUE,TRUE,62.08
3,0.64,Associate,TRUE,FALSE,61.96
3,0.78,Associate,FALSE,TRUE,59.04
89,0.82,Associate,FALSE,TRUE,72.46
3,0.71,Associate,TRUE,FALSE,62
3,0.3,Associate,FALSE,TRUE,58.77
8,0.33,Associate,TRUE,FALSE,62.78
5,0.33,Associate,FALSE,FALSE,61.18
3,0.5,Associate,TRUE,TRUE,59.88
2,0.5,Associate,TRUE,TRUE,59.68
55,0.58,Associate,FALSE,FALSE,71.32
34,0.15,Associate,TRUE,TRUE,65.88
89,0.82,Associate,FALSE,TRUE,72.46
1,0.84,Associate,TRUE,TRUE,59.67
144,0.72,Associate,FALSE,TRUE,74.4
55,0.69,Associate,TRUE,FALSE,72.39
3,0.81,Associate,TRUE,TRUE,60.05
55,0.63,Associate,TRUE,FALSE,72.35
5,0.88,Associate,FALSE,FALSE,61.49
55,0.56,Associate,FALSE,FALSE,71.32
5,0.38,Associate,TRUE,TRUE,60.21
144,0.11,Associate,FALSE,TRUE,74.06
13,0.87,Associate,FALSE,FALSE,63.09
55,0.85,Associate,TRUE,TRUE,70.48
5,0.56,Associate,TRUE,TRUE,60.32
8,0.41,Associate,TRUE,FALSE,62.83
34,0.87,Associate,TRUE,TRUE,66.29
13,0.13,Associate,TRUE,TRUE,61.68
21,0.86,Associate,TRUE,TRUE,63.68
1,0.21,Associate,TRUE,TRUE,59.32
89,0.85,Associate,FALSE,FALSE,74.48
89,0.08,Associate,TRUE,FALSE,75.05
13,0.26,Associate,FALSE,FALSE,62.75
8,0.75,Associate,FALSE,TRUE,60.02
1,0.98,Associate,FALSE,TRUE,58.75
1,0.79,Associate,TRUE,TRUE,59.64
13,0.97,Associate,TRUE,TRUE,62.14
55,0.27,Associate,FALSE,TRUE,69.15
21,0.35,Associate,TRUE,TRUE,63.4
34,0.03,Associate,FALSE,TRUE,64.81
55,0.15,Associate,FALSE,TRUE,69.09
34,0.8,Associate,FALSE,FALSE,67.25
144,0.98,Associate,FALSE,FALSE,76.55
144,0.29,Associate,TRUE,FALSE,77.16
13,1,Associate,TRUE,TRUE,62.16
13,0.35,Associate,TRUE,TRUE,61.8
3,0.32,Associate,FALSE,FALSE,60.78
3,0.04,Associate,TRUE,FALSE,61.62
8,0.42,Associate,FALSE,FALSE,61.83
55,0.66,Associate,FALSE,TRUE,69.37
3,0.56,Associate,TRUE,FALSE,61.91
13,0.03,Associate,TRUE,FALSE,63.62
1,0.89,Associate,TRUE,TRUE,59.7
8,0.57,Associate,FALSE,TRUE,59.92
34,0.58,Associate,FALSE,FALSE,67.12
5,0.88,Associate,FALSE,TRUE,59.49
21,0.29,Associate,TRUE,TRUE,63.36
13,0.74,Associate,FALSE,TRUE,61.01
2,0.49,Associate,TRUE,TRUE,59.67
8,0.21,Associate,TRUE,TRUE,60.72
55,0.2,Associate,TRUE,FALSE,72.11
34,0.7,Associate,FALSE,FALSE,67.19
89,0.28,Associate,TRUE,TRUE,73.16
5,0.37,Associate,FALSE,TRUE,59.21
13,0.98,Associate,FALSE,TRUE,61.15
1,0.81,Associate,FALSE,FALSE,60.66
89,0.77,Associate,FALSE,TRUE,72.43
13,0.87,Associate,TRUE,TRUE,62.09
34,0.23,Associate,TRUE,TRUE,65.93
8,0.97,Associate,TRUE,TRUE,61.14
55,0.41,Associate,TRUE,FALSE,72.23
5,0.58,Associate,FALSE,FALSE,61.33
8,0.62,Associate,TRUE,TRUE,60.95
13,0.99,Associate,FALSE,TRUE,61.16
8,0.91,Associate,FALSE,FALSE,62.11
3,0.44,Associate,TRUE,TRUE,59.85
2,0.12,Associate,FALSE,FALSE,60.47
5,0.81,Associate,FALSE,TRUE,59.45
8,0.3,Associate,TRUE,FALSE,62.77
34,0.82,Associate,TRUE,FALSE,68.26
1,0.31,Associate,TRUE,TRUE,59.37
21,0.26,Associate,FALSE,FALSE,64.35
5,0.24,Associate,TRUE,TRUE,60.13
89,0.49,Associate,FALSE,FALSE,74.27
13,0.29,Associate,FALSE,FALSE,62.76
55,0.13,Associate,FALSE,TRUE,69.07
13,0.39,Associate,FALSE,FALSE,62.82
2,0.85,Associate,FALSE,TRUE,58.88
13,0.16,Associate,FALSE,TRUE,60.69
1,0.9,Associate,FALSE,TRUE,58.71
55,0.08,Associate,FALSE,TRUE,69.04
89,0.98,Associate,FALSE,TRUE,72.55
21,0.96,Associate,FALSE,FALSE,64.74
1,0.29,Associate,FALSE,FALSE,60.36
89,0.9,Associate,FALSE,TRUE,72.51
1,0.98,Associate,TRUE,FALSE,61.75
3,0.89,Associate,FALSE,FALSE,61.1
2,0.43,Associate,TRUE,TRUE,59.64
2,0.05,Associate,TRUE,TRUE,59.43
21,0.9,Associate,FALSE,TRUE,62.71
55,0.74,Associate,FALSE,TRUE,69.41
1,0.96,Associate,TRUE,TRUE,59.74
3,0.85,Associate,FALSE,FALSE,61.08
5,0.58,Associate,FALSE,FALSE,61.32
5,0.03,Associate,TRUE,FALSE,62.02
2,0.95,Associate,TRUE,FALSE,61.93
34,0.59,Associate,TRUE,TRUE,66.13
8,0.51,Associate,TRUE,FALSE,62.88
13,0.71,Associate,FALSE,FALSE,63
2,0.18,Associate,FALSE,TRUE,58.5
55,0.4,Associate,FALSE,FALSE,71.22
21,0.43,Associate,FALSE,FALSE,64.44
21,0.26,Associate,FALSE,TRUE,62.35
3,0.24,Associate,TRUE,TRUE,59.73
1,0.72,Associate,TRUE,FALSE,61.6
8,0.62,Associate,TRUE,FALSE,62.95
34,0.43,Associate,FALSE,TRUE,65.04
2,0.88,Associate,FALSE,FALSE,60.89
89,0.19,Associate,TRUE,TRUE,73.1
13,0.61,Associate,FALSE,FALSE,62.94
2,0.66,Associate,TRUE,FALSE,61.77
5,0.37,Associate,TRUE,TRUE,60.21
144,0.18,Associate,TRUE,TRUE,75.1
89,0.88,Associate,TRUE,TRUE,73.49
3,0.05,Associate,FALSE,FALSE,60.63
34,0.77,Associate,FALSE,FALSE,67.23
34,0.24,Associate,TRUE,TRUE,65.93
21,0.68,Associate,FALSE,FALSE,64.58
2,0.82,Associate,TRUE,FALSE,61.86
55,0.74,Associate,TRUE,FALSE,72.41
13,0.63,Associate,FALSE,TRUE,60.95
5,0.74,Associate,TRUE,TRUE,60.41
34,0.66,Associate,FALSE,FALSE,67.17
2,0.41,Associate,TRUE,TRUE,59.63
21,0.87,Associate,TRUE,TRUE,63.69
8,0.79,Associate,FALSE,TRUE,60.04
1,0.97,Associate,FALSE,TRUE,58.75
21,0.25,Associate,TRUE,FALSE,65.34
3,0.55,Associate,FALSE,TRUE,58.91
34,0.2,Associate,FALSE,TRUE,64.91
89,0.11,Associate,TRUE,FALSE,75.06
1,0.9,Associate,FALSE,TRUE,58.7
13,0.27,Associate,TRUE,FALSE,63.75
89,0.96,Associate,FALSE,TRUE,72.54
55,0.09,Associate,FALSE,TRUE,69.05
8,0.88,Associate,FALSE,TRUE,60.09
8,0.74,Associate,TRUE,TRUE,61.01
34,0.56,Associate,FALSE,FALSE,67.11
55,0.62,Associate,TRUE,TRUE,70.35
8,0.13,Associate,TRUE,TRUE,60.67
3,0.72,Associate,FALSE,TRUE,59
55,0.51,Associate,TRUE,TRUE,70.29
144,0.68,Associate,FALSE,FALSE,76.38
2,0.61,Associate,FALSE,FALSE,60.74
5,0.93,Associate,FALSE,FALSE,61.52
3,0.55,Associate,FALSE,TRUE,58.91
21,0.47,Associate,FALSE,FALSE,64.46
1,0.59,Associate,TRUE,TRUE,59.53
144,0.34,Associate,TRUE,TRUE,75.19
1,0.08,Associate,TRUE,FALSE,61.24
21,0.33,Associate,TRUE,TRUE,63.38
5,0.31,Associate,TRUE,TRUE,60.17
21,0.81,Associate,TRUE,TRUE,63.66
5,0.78,Associate,FALSE,TRUE,59.43
89,0.75,Associate,FALSE,TRUE,72.42
89,0.35,Associate,TRUE,FALSE,75.2
144,0.89,Associate,TRUE,TRUE,75.5
13,0.95,Associate,TRUE,TRUE,62.13
21,0.32,Associate,TRUE,FALSE,65.38
21,0.8,Associate,TRUE,TRUE,63.65
89,0.55,Associate,TRUE,TRUE,73.31
13,0.88,Associate,FALSE,FALSE,63.09
5,0.14,Associate,TRUE,FALSE,62.08
5,0.84,Associate,FALSE,TRUE,59.47
55,0.31,Associate,TRUE,FALSE,72.17
144,0.84,Associate,FALSE,FALSE,76.47
5,0.23,Associate,FALSE,FALSE,61.13
5,0.98,Associate,FALSE,FALSE,61.55
5,0.41,Associate,FALSE,FALSE,61.23
13,0.8,Associate,FALSE,FALSE,63.05
2,0.96,Associate,TRUE,FALSE,61.93
5,0.5,Associate,FALSE,TRUE,59.28
55,0.19,Associate,FALSE,TRUE,69.11
2,0.5,Associate,FALSE,TRUE,58.68
13,0.25,Associate,FALSE,FALSE,62.74
55,0.9,Associate,TRUE,FALSE,72.5
3,0.4,Associate,FALSE,TRUE,58.82
13,0.57,Associate,FALSE,TRUE,60.92
13,0.93,Associate,TRUE,TRUE,62.12
34,0.65,Associate,TRUE,TRUE,66.17
144,0.42,Associate,TRUE,FALSE,77.23
144,0.34,Associate,FALSE,TRUE,74.19
3,0.27,Associate,FALSE,TRUE,58.75
144,0.77,Associate,TRUE,FALSE,77.43
21,0.87,Associate,FALSE,FALSE,64.69
3,0.09,Associate,FALSE,TRUE,58.65
8,0.97,Associate,FALSE,TRUE,60.14
1,0.25,Associate,TRUE,FALSE,61.34
3,0.86,Associate,TRUE,FALSE,62.08
34,0.51,Associate,TRUE,TRUE,66.09
144,0.36,Associate,FALSE,TRUE,74.2
34,0.64,Associate,FALSE,FALSE,67.16
2,0.12,Associate,TRUE,TRUE,59.46
3,0.99,Associate,TRUE,TRUE,60.15
5,0.22,Associate,FALSE,TRUE,59.12
144,0.86,Associate,FALSE,FALSE,76.48
144,1,Associate,TRUE,FALSE,77.56
13,0.02,Associate,FALSE,TRUE,60.61
2,0.06,Associate,TRUE,TRUE,59.43
34,0.32,Associate,TRUE,FALSE,67.98
34,0.19,Associate,FALSE,TRUE,64.91
21,0.76,Associate,FALSE,FALSE,64.62
21,0.53,Associate,TRUE,FALSE,65.5
5,0.96,Associate,FALSE,TRUE,59.54
5,0.99,Associate,TRUE,FALSE,62.55
144,0.34,Associate,TRUE,FALSE,77.19
144,0.31,Associate,FALSE,FALSE,76.17
55,0.98,Associate,TRUE,FALSE,72.55
1,0.14,Associate,FALSE,TRUE,58.28
89,0.01,Associate,TRUE,TRUE,73
34,0.8,Associate,FALSE,TRUE,65.25
34,0.28,Associate,FALSE,TRUE,64.96
13,0.45,Associate,FALSE,TRUE,60.85
13,0.74,Associate,FALSE,FALSE,63.01
8,0.46,Associate,FALSE,TRUE,59.86
89,0.71,Associate,TRUE,FALSE,75.4
5,0.83,Associate,FALSE,TRUE,59.47
5,0.02,Associate,FALSE,FALSE,61.01
13,0.07,Associate,FALSE,FALSE,62.64
34,0.07,Associate,FALSE,FALSE,66.84
144,0.57,Associate,FALSE,TRUE,74.32
3,0.05,Associate,FALSE,TRUE,58.63
89,0.99,Associate,FALSE,FALSE,74.55
144,0.02,Associate,FALSE,FALSE,76.01
89,0.36,Associate,TRUE,FALSE,75.2
13,0.82,Associate,FALSE,TRUE,61.06
3,0.12,Associate,TRUE,TRUE,59.67
34,0.21,Associate,FALSE,TRUE,64.92
2,0.75,Associate,FALSE,TRUE,58.82
8,0.85,Associate,FALSE,FALSE,62.08
89,0.14,Associate,FALSE,TRUE,72.08
21,0.72,Associate,FALSE,TRUE,62.6
21,0.78,Associate,TRUE,TRUE,63.64
3,0.91,Associate,FALSE,FALSE,61.11
5,0.17,Associate,FALSE,FALSE,61.1
3,0.81,Associate,TRUE,TRUE,60.05
8,0.07,Associate,TRUE,FALSE,62.64
1,0.56,Associate,FALSE,TRUE,58.51
1,0.94,Associate,TRUE,FALSE,61.73
34,0.04,Associate,FALSE,TRUE,64.82
8,0.57,Associate,TRUE,FALSE,62.92
13,0.04,Associate,FALSE,FALSE,62.62
1,0.52,Associate,FALSE,TRUE,58.49
5,0.71,Associate,FALSE,TRUE,59.4
89,0.44,Associate,TRUE,FALSE,75.25
34,0.2,Associate,TRUE,FALSE,67.91
3,0.26,Associate,TRUE,TRUE,59.75
144,0.94,Associate,TRUE,FALSE,77.52
34,0.03,Associate,TRUE,TRUE,65.82
21,0.3,Associate,TRUE,TRUE,63.37
55,0.86,Associate,TRUE,FALSE,72.48
34,0.42,Associate,TRUE,TRUE,66.04
5,0.25,Associate,TRUE,TRUE,60.14
1,0.78,Associate,FALSE,FALSE,60.63
13,0.81,Associate,FALSE,TRUE,61.05
21,0.18,Associate,FALSE,TRUE,62.3
1,0.11,Associate,TRUE,TRUE,59.26
21,0.96,Associate,TRUE,TRUE,63.74
89,0.22,Associate,TRUE,TRUE,73.12
5,0.42,Associate,FALSE,FALSE,61.24
3,0.99,Associate,FALSE,TRUE,59.16
144,0.16,Associate,TRUE,FALSE,77.09
1,0.08,Associate,FALSE,TRUE,58.25
2,0.17,Associate,FALSE,TRUE,58.5
1,0.85,Associate,TRUE,FALSE,61.68
21,0.63,Associate,FALSE,FALSE,64.55
89,0.3,Associate,FALSE,FALSE,74.17
21,0.92,Associate,FALSE,TRUE,62.71
3,0.53,Associate,TRUE,TRUE,59.9
13,0.96,Associate,TRUE,FALSE,64.14
55,0.42,Associate,TRUE,TRUE,70.24
5,0.85,Associate,FALSE,FALSE,61.47
21,0.8,Associate,TRUE,FALSE,65.65
144,0.68,Associate,TRUE,FALSE,77.38
89,0.08,Associate,FALSE,FALSE,74.04
144,0.96,Associate,FALSE,FALSE,76.54
5,0.46,Associate,TRUE,FALSE,62.26
89,0.67,Associate,FALSE,FALSE,74.38
89,0.27,Associate,FALSE,FALSE,74.15
144,0.04,Associate,TRUE,TRUE,75.02
13,0.09,Associate,FALSE,FALSE,62.65
5,0.18,Associate,TRUE,FALSE,62.1
1,0.02,Associate,TRUE,TRUE,59.21
8,0.1,Associate,FALSE,TRUE,59.66
13,0.13,Associate,FALSE,FALSE,62.67
1,0.07,Associate,TRUE,FALSE,61.24
2,0.45,Associate,TRUE,FALSE,61.65
5,0.06,Associate,FALSE,FALSE,61.03
3,0.01,Associate,FALSE,TRUE,58.61
55,0.01,Associate,FALSE,FALSE,71
55,0.16,Associate,FALSE,FALSE,71.09
5,0.23,Associate,FALSE,FALSE,61.13
2,0.57,Associate,TRUE,TRUE,59.72
34,0.41,Associate,FALSE,FALSE,67.03
8,0.41,Associate,TRUE,FALSE,62.83
144,0.78,Associate,TRUE,FALSE,77.44
13,0.56,Associate,TRUE,TRUE,61.92
3,0.76,Associate,FALSE,TRUE,59.03
2,0.77,Associate,FALSE,FALSE,60.83
89,0.65,Associate,FALSE,FALSE,74.37
55,0.26,Associate,FALSE,TRUE,69.14
34,0.98,Associate,FALSE,TRUE,65.35
89,0.89,Associate,TRUE,TRUE,73.5
34,0.79,Associate,FALSE,FALSE,67.24
13,0.11,Associate,FALSE,FALSE,62.66
144,0.18,Associate,TRUE,TRUE,75.1
3,0.08,Associate,FALSE,TRUE,58.65
21,0.94,Associate,TRUE,TRUE,63.73
5,0.84,Associate,TRUE,TRUE,60.47
55,0.39,Associate,FALSE,TRUE,69.22
55,0.94,Associate,TRUE,TRUE,70.52
34,0.78,Associate,FALSE,FALSE,67.24
1,0.57,Associate,TRUE,FALSE,61.52
21,0.21,Associate,FALSE,TRUE,62.32
21,0.96,Associate,TRUE,FALSE,65.74
89,0.94,Associate,FALSE,TRUE,72.53
89,0.15,Associate,TRUE,FALSE,75.08
2,0.1,Associate,TRUE,TRUE,59.46
5,0.47,Associate,TRUE,TRUE,60.26
1,0.18,Associate,FALSE,FALSE,60.3
8,0.58,Associate,FALSE,TRUE,59.93
89,0.04,Associate,TRUE,FALSE,75.02
2,0.87,Associate,FALSE,FALSE,60.89
34,0.99,Associate,FALSE,TRUE,65.35
8,0.87,Associate,FALSE,FALSE,62.08
89,0.86,Associate,TRUE,FALSE,75.48
55,0.6,Associate,TRUE,FALSE,72.33
21,0.51,Associate,FALSE,TRUE,62.49
1,0.84,Associate,FALSE,TRUE,58.67
144,0.8,Associate,TRUE,TRUE,75.45
5,0.02,Associate,TRUE,TRUE,60.01
2,0.68,Associate,TRUE,FALSE,61.78
55,0.29,Associate,FALSE,TRUE,69.16
5,0.4,Associate,TRUE,TRUE,60.22
3,0.18,Associate,FALSE,FALSE,60.7
3,0.3,Associate,FALSE,FALSE,60.77
1,0.72,Associate,FALSE,FALSE,60.6
13,0.57,Associate,FALSE,FALSE,62.92
5,0.13,Associate,TRUE,TRUE,60.08
144,0.41,Associate,FALSE,TRUE,74.23
21,0.29,Associate,FALSE,FALSE,64.36
1,0.59,Associate,TRUE,FALSE,61.53
144,0.37,Associate,TRUE,TRUE,75.21
21,0.65,Associate,TRUE,TRUE,63.56
3,0.51,Associate,TRUE,FALSE,61.89
21,0.53,Associate,FALSE,FALSE,64.5
34,0.95,Associate,FALSE,TRUE,65.33
13,0.27,Associate,TRUE,TRUE,61.75
1,0.83,Associate,TRUE,TRUE,59.67
8,0.62,Associate,FALSE,FALSE,61.95
1,0.42,Associate,TRUE,TRUE,59.44
3,0.18,Associate,TRUE,FALSE,61.7
3,0.74,Associate,FALSE,TRUE,59.01
55,0.13,Associate,FALSE,TRUE,69.08
21,0.71,Associate,TRUE,TRUE,63.6
144,0.8,Associate,FALSE,FALSE,76.45
21,0.86,Associate,TRUE,FALSE,65.68
1,0.25,Associate,FALSE,FALSE,60.34
3,0.14,Associate,FALSE,TRUE,58.68
21,0.55,Associate,FALSE,TRUE,62.51
8,0.04,Associate,FALSE,FALSE,61.62
34,0.22,Associate,FALSE,TRUE,64.92
2,0.49,Associate,TRUE,TRUE,59.68
5,0.91,Associate,TRUE,FALSE,62.51
13,0.3,Associate,FALSE,TRUE,60.77
55,0.62,Associate,FALSE,FALSE,71.35
144,0.25,Associate,TRUE,FALSE,77.14
34,0.53,Associate,TRUE,TRUE,66.1
8,0.22,Associate,TRUE,FALSE,62.72
8,0.37,Associate,FALSE,FALSE,61.81
8,0.96,Associate,TRUE,FALSE,63.14
5,0.25,Associate,TRUE,TRUE,60.14
21,0.67,Associate,TRUE,TRUE,63.58
144,0.84,Associate,TRUE,FALSE,77.47
2,0.69,Associate,FALSE,FALSE,60.79
1,0.59,Associate,FALSE,FALSE,60.53
1,0.83,Associate,FALSE,FALSE,60.66
55,0.41,Associate,FALSE,TRUE,69.23
5,0.42,Associate,TRUE,FALSE,62.24
3,0.39,Associate,TRUE,FALSE,61.82
1,0.72,Associate,FALSE,TRUE,58.61
13,0.52,Associate,TRUE,TRUE,61.89
144,0.91,Associate,TRUE,FALSE,77.51
8,0.6,Associate,TRUE,FALSE,62.93
13,0.23,Associate,TRUE,FALSE,63.73
2,0.59,Associate,FALSE,FALSE,60.73
34,0.07,Associate,TRUE,FALSE,67.84
8,0.62,Associate,TRUE,TRUE,60.95
13,0.82,Associate,FALSE,TRUE,61.06
55,0.59,Associate,FALSE,FALSE,71.33
3,0.26,Associate,FALSE,TRUE,58.74
21,0.13,Associate,FALSE,TRUE,62.28
3,0.57,Associate,FALSE,FALSE,60.92
89,0.05,Associate,TRUE,TRUE,73.03
2,0.14,Associate,FALSE,TRUE,58.48
55,0.16,Associate,TRUE,TRUE,70.09
21,0.36,Associate,TRUE,FALSE,65.4
13,0.91,Associate,TRUE,FALSE,64.11
55,0.13,Associate,TRUE,TRUE,70.07
1,0.97,Associate,FALSE,FALSE,60.74
8,0.56,Associate,TRUE,FALSE,62.91
3,0.19,Associate,TRUE,TRUE,59.7
34,0.8,Associate,TRUE,FALSE,68.25
3,0.44,Associate,FALSE,TRUE,58.84
8,0.58,Associate,TRUE,TRUE,60.93
3,0.47,Associate,TRUE,FALSE,61.86
3,0.34,Associate,FALSE,FALSE,60.79
89,0.17,Associate,FALSE,FALSE,74.09
55,0.25,Associate,TRUE,FALSE,72.14
55,0.26,Associate,TRUE,FALSE,72.14
13,0.31,Associate,TRUE,TRUE,61.77
8,0.24,Associate,TRUE,FALSE,62.74
144,0.92,Associate,TRUE,FALSE,77.51
3,0.45,Associate,FALSE,FALSE,60.85
144,0.6,Associate,FALSE,FALSE,76.33
55,0.6,Associate,FALSE,FALSE,71.34
8,0.61,Associate,FALSE,FALSE,61.94
21,0.25,Associate,TRUE,TRUE,63.34
5,0.26,Associate,TRUE,TRUE,60.15
55,0.71,Associate,TRUE,TRUE,70.4
13,0.7,Associate,TRUE,TRUE,61.99
144,0.42,Associate,TRUE,FALSE,77.24
2,0.75,Associate,FALSE,TRUE,58.82
55,0.65,Associate,FALSE,FALSE,71.36
3,0.95,Associate,TRUE,FALSE,62.13
1,0.07,Associate,FALSE,TRUE,58.24
5,0.33,Associate,FALSE,TRUE,59.19
55,0.23,Associate,FALSE,TRUE,69.13
